conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.9872e+18,Sat Nov 08 23:38:09 +0000 2025,0,@IndianGems_ #MBG Makan Bergizi Gratis,1.9873e+18,,IndianGems_,in,,0,0,0,https://x.com/undefined/status/1987303658086932897,208785571.0,
1.9873e+18,Sat Nov 08 23:38:00 +0000 2025,1,Dukung program MBG https://t.co/Z3GsZtwlwk,1.9873e+18,https://pbs.twimg.com/media/G5RSHQtbIAM1O1b.jpg,SatriaKalteng,in,,0,0,0,https://x.com/undefined/status/1987303623441981783,1.35692e+18,
1.9873e+18,Sat Nov 08 23:37:58 +0000 2025,4,Program MBG mengutamakan keamanan dan gizi seimbang https://t.co/9vzzYtJCLb,1.9873e+18,https://pbs.twimg.com/media/G5RSGyvbYAACL0H.jpg,,in,,0,8,1,https://x.com/undefined/status/1987303614860394676,1.35692e+18,
1.98705e+18,Sat Nov 08 23:36:56 +0000 2025,0,@tempodotco Harusnya bisa untung kalau mereka benar2 diajak unt pengadaan bahan pangan MBG.,1.9873e+18,,tempodotco,in,,0,0,0,https://x.com/undefined/status/1987303354972721308,8.48048e+17,
1.98666e+18,Sat Nov 08 23:35:15 +0000 2025,0,@nducella1 @plumbinq Apapun di lakukan demi MBG ,1.9873e+18,,nducella1,in,,0,0,0,https://x.com/undefined/status/1987302930677178460,2959961835.0,
1.98699e+18,Sat Nov 08 23:30:14 +0000 2025,0,@Giiselje Ini pemerintah mengharap uang muter dari MBG tapi aslinya yg modalin pemerintah semua ada perputaran uang tapi asalnya uang semua dari pemerintah jadi ga beda sama pemerintah kasih bansos ga ada uang dari luar pemerintah yg masuk. Subsidi full buat MBG.,1.9873e+18,,Giiselje,in,,0,0,0,https://x.com/undefined/status/1987301668388806942,1.80233e+18,
1.98709e+18,Sat Nov 08 23:29:22 +0000 2025,0,@goraici ...mau ditaroh spt apa via siapa. Via swasta sy yakin cma muter2 di circle itu aja. Via negara aka Ber*****i ga akan lebih baik juga. Ladang mainan. MBG akhir udah jd ajang bagi2 proyek hulu smp hilir yg jadi korban ibu2 rumah tangga krn harga komoditi terkerek keb dapur MBG.,1.9873e+18,,FachSetiawan,in,,0,0,1,https://x.com/undefined/status/1987301451111276719,1.11858e+18,
1.98702e+18,Sat Nov 08 23:29:02 +0000 2025,0,@ARSIPAJA Bahan makanannya dr pemerintah kemasannya proses pengolahan &amp; pendistribusiannya olh mitra pemerintah. TNI &amp; Polri jg berperan. Jd semua kebagian jatah buat mengerjakan proyek mbg.,1.9873e+18,,ARSIPAJA,in,,0,0,0,https://x.com/undefined/status/1987301364431511587,8.48048e+17,
1.89259e+18,Sat Nov 08 23:27:09 +0000 2025,0,@diptherium @Afat3K Metong karena makan mbg,1.9873e+18,,diptherium,in,,0,0,0,https://x.com/undefined/status/1987300891373060268,1.42394e+18,
1.9873e+18,Sat Nov 08 23:25:40 +0000 2025,0,@diasal_mei Berdasarkan analisis tweetmu (sekitar 30 terbaru) pola tetap: kritik politik (anti-korupsi NU pesantren) gaming (HOK) dan isu sosial seperti MBG basi atau tambang ilegal. Tidak ada info langsung soal pekerjaan atau aset. Perkiraan kekayaan: Sulit dipastikan tapi dari topik,1.9873e+18,,diasal_mei,in,,0,1,0,https://x.com/undefined/status/1987300517547298874,1.72067e+18,
1.9873e+18,Sat Nov 08 23:24:46 +0000 2025,0,Badan Gizi Nasional (BGN) tengah menyiapkan skema baru penyaluran makan bergizi gratis. Ke depan dapur-dapur sekolah di wilayah tertinggal terdepan dan terluar akan diberdayakan sebagai pusat produksi makanan bagi Anak Bangsa #3TIndonesia https://t.co/I8rL14DRpF,1.9873e+18,,,in,,0,1,0,https://x.com/undefined/status/1987300291033887033,1.37238e+18,
1.98704e+18,Sat Nov 08 23:23:43 +0000 2025,0,@Gabbar0099 Negara maju emang beda . Kualitas MBG nya jauh beda boss. Masak langsung di sekolah pula,1.9873e+18,,Gabbar0099,in,,0,0,0,https://x.com/undefined/status/1987300029753925801,1.94956e+18,
1.9873e+18,Sat Nov 08 23:21:23 +0000 2025,0,MBG bukan sekadar memberi makan tapi menyalakan kembali harapan akan masa depan yang lebih baik #3TIndonesia Anak Bangsa,1.9873e+18,,lhabirin,in,,0,1,0,https://x.com/undefined/status/1987299439737012439,2756663021.0,
1.9873e+18,Sat Nov 08 23:21:22 +0000 2025,0,Banyak siswa kini datang lebih pagi karena tak sabar menikmati makanan sehat dari dapur MBG #3TIndonesia Anak Bangsa,1.9873e+18,,lhabirin,in,,0,1,0,https://x.com/undefined/status/1987299435886616598,2756663021.0,
1.9873e+18,Sat Nov 08 23:21:21 +0000 2025,0,Program MBG sukses dorong semangat anak anak di Papua untuk kembali bersekolah lewat makanan bergizi #3TIndonesia Anak Bangsa https://t.co/bg20pViLmA,1.9873e+18,,,in,,0,1,0,https://x.com/undefined/status/1987299433743257995,2756663021.0,
1.9873e+18,Sat Nov 08 23:19:49 +0000 2025,0,Kolaborasi antara pemerintah dan masyarakat membuat dapur MBG semakin berdampak luas #3TIndonesia Anak Bangsa,1.9873e+18,,bhetween,in,,0,1,0,https://x.com/undefined/status/1987299047171080252,8.78499e+17,
1.9873e+18,Sat Nov 08 23:19:49 +0000 2025,0,Pemerintah Kabupaten Mamasa terus memaksimalkan dapur MBG untuk menjangkau anak anak di wilayah 3T #3TIndonesia Anak Bangsa https://t.co/mELB9cdpGT,1.9873e+18,,,in,,0,1,0,https://x.com/undefined/status/1987299044881043492,8.78499e+17,
1.98681e+18,Sat Nov 08 23:17:05 +0000 2025,0,@humas_jogja Program bermasalah.. sekolah minta stop mbg krn sdh punya dapur sendiri saja ngotot tetap trima mbg banyak anak dulu gk ad riwayat sakit perut sejak ad mbg jd sakit perut.. apa kudu anak2 karyawan atasan mbg pd keracunan dulu baru tahu rasanya sakit klw anaknya sakit?,1.9873e+18,,humas_jogja,in,,0,0,0,https://x.com/undefined/status/1987298358084706328,1933443925.0,
1.9873e+18,Sat Nov 08 23:13:38 +0000 2025,0,Dari hati kecil Anak Bangsa di daerah 3T MBG jadi jembatan gizi &amp; harapan. Pemerataan akses berantas stunting satu piring satu langkah besar. ️ #3TIndonesia https://t.co/yDN0YNVv9x,1.9873e+18,https://pbs.twimg.com/media/G5RMiKrb0AAC8Lv.jpg,,in,,0,0,0,https://x.com/undefined/status/1987297491004645617,1.41635e+18,
1.9873e+18,Sat Nov 08 23:13:33 +0000 2025,0,Program MBG bukan cuma piring penuh tapi nyawa ekonomi lokal yang bangkit. Anak Bangsa sehat petani tersenyum masa depan Indonesia tumbuh dari tanah sendiri. ️ #3TIndonesia https://t.co/YWJTbiAuoQ,1.9873e+18,https://pbs.twimg.com/media/G5RMg0HaMAA9rhS.jpg,,in,,0,0,0,https://x.com/undefined/status/1987297467982094733,1.41635e+18,
1.9873e+18,Sat Nov 08 23:13:25 +0000 2025,0,Di pelosok 3T anak-anak bakalan tahu rasa manis kelengkeng. MBG bukan sekadar makan siang tapi pelukan hangat yang bilang: Kau berharga Anak Bangsa . Satu buah satu senyum satu harapan. ️ #3TIndonesia https://t.co/WwgtxGQRtq,1.9873e+18,https://pbs.twimg.com/media/G5RMfLwbIAIj0YH.jpg,,in,,0,0,0,https://x.com/undefined/status/1987297437346898300,1.41635e+18,
1.9873e+18,Sat Nov 08 23:13:20 +0000 2025,0,Good news... Rampung Okt-Nov dapur MBG baru di 3T siap sajikan gizi setara! Anak Bangsa pelosok tak lagi lapar belajar. 🇮🇩 #3TIndonesia https://t.co/fLUGmmGcdk,1.9873e+18,https://pbs.twimg.com/media/G5RMdwKbIAE4nat.jpg,,in,,0,0,0,https://x.com/undefined/status/1987297414236319832,1.41635e+18,
1.9873e+18,Sat Nov 08 23:13:15 +0000 2025,0,Dari lapar bolos jadi rajin sekolah. Anak Bangsa kenyang semangat sekolah meningkat berkat program MBG. #3TIndonesia https://t.co/7QmcHy6KV0,1.9873e+18,https://pbs.twimg.com/media/G5RMctibIAQG9T2.jpg,,in,,0,0,0,https://x.com/undefined/status/1987297394317557822,1.41635e+18,
